Model,Finisaj,Tip_Rozeta,Pret_Maner,Pret_Rozeta,Total
LIRA,SC,OB,343.93,77.5,421.43
LIRA,SC,PZ,343.93,77.5,421.43
LIRA,SC,WC,343.93,118.84,462.77
LOBELIA,KG,OB,450.71,93.0,543.71
LOBELIA,KG,PZ,450.71,93.0,543.71
LOBELIA,KG,WC,450.71,136.11,586.82
LOBELIA,LC,OB,375.59,77.5,453.09
LOBELIA,LC,PZ,375.59,77.5,453.09
LOBELIA,LC,WC,375.59,118.84,494.43
LOBELIA,LG,OB,450.71,93.0,543.71
LOBELIA,LG,PZ,450.71,93.0,543.71
LOBELIA,LG,WC,450.71,136.11,586.82
LORENZA,GYM,OB,316.41,79.03,395.44
LORENZA,GYM,PZ,316.41,79.03,395.44
LORENZA,GYM,WC,316.41,129.59,446.0
LORENZA,LG,OB,348.06,79.03,427.09
LORENZA,LG,PZ,348.06,79.03,427.09
LORENZA,LG,WC,348.06,129.59,477.65
LUNA,BLACK,OB,212.29,65.01,277.3
LUNA,BLACK,PZ,212.29,65.01,277.3
LUNA,BLACK,WC,212.29,111.7,323.99
LUNA,CP,OB,212.29,65.01,277.3
LUNA,CP,PZ,212.29,65.01,277.3
LUNA,CP,WC,212.29,111.7,323.99
LUNA,GOLD PVD,OB,233.5,71.51,305.01
LUNA,GOLD PVD,PZ,233.5,71.51,305.01
LUNA,GOLD PVD,WC,233.5,122.85,356.35
LUNA,MSC,OB,212.29,65.01,277.3
LUNA,MSC,PZ,212.29,65.01,277.3
LUNA,MSC,WC,212.29,111.7,323.99
MARIGOLD,BK,OB,382.1,65.85,447.95
MARIGOLD,BK,PZ,382.1,65.85,447.95
MARIGOLD,BK,WC,382.1,113.13,495.23
MARIGOLD,FB,OB,829.78,79.03,908.81
MARIGOLD,FB,PZ,829.78,79.03,908.81
MARIGOLD,FB,WC,829.78,129.59,959.37
MARIGOLD,KG,OB,458.54,79.03,537.57
MARIGOLD,KG,PZ,458.54,79.03,537.57
MARIGOLD,KG,WC,458.54,129.59,588.13
MARIGOLD,LC,OB,382.1,65.85,447.95
MARIGOLD,LC,PZ,382.1,65.85,447.95
MARIGOLD,LC,WC,382.1,113.13,495.23
MARIGOLD,LG,OB,458.54,79.03,537.57
MARIGOLD,LG,PZ,458.54,79.03,537.57
MARIGOLD,LG,WC,458.54,129.59,588.13
MARIGOLD,PN PVD,OB,458.54,79.03,537.57
MARIGOLD,PN PVD,PZ,458.54,79.03,537.57
MARIGOLD,PN PVD,WC,458.54,129.59,588.13
MARIGOLD,WH,OB,458.54,79.03,537.57
MARIGOLD,WH,PZ,458.54,79.03,537.57
MARIGOLD,WH,WC,458.54,129.59,588.13
MOLINIA,BLACK,OB,329.95,65.01,394.96
MOLINIA,BLACK,PZ,329.95,65.01,394.96
MOLINIA,BLACK,WC,329.95,111.7,441.65
MOLINIA,BR,OB,346.44,65.01,411.45
MOLINIA,BR,PZ,346.44,65.01,411.45
MOLINIA,BR,WC,346.44,111.7,458.14
MOLINIA,CP,OB,329.95,65.01,394.96
MOLINIA,CP,PZ,329.95,65.01,394.96
MOLINIA,CP,WC,329.95,111.7,441.65
MOLINIA,GOLD PVD,OB,381.03,71.51,452.54
MOLINIA,GOLD PVD,PZ,381.03,71.51,452.54
MOLINIA,GOLD PVD,WC,381.03,122.85,503.88
MOLINIA,GOLD SATIN,OB,381.03,71.51,452.54
MOLINIA,GOLD SATIN,PZ,381.03,71.51,452.54
MOLINIA,GOLD SATIN,WC,381.03,122.85,503.88
MOLINIA,MSB,OB,346.44,65.01,411.45
MOLINIA,MSB,PZ,346.44,65.01,411.45
MOLINIA,MSB,WC,346.44,111.7,458.14
MOLINIA,MSN,OB,346.44,65.01,411.45
MOLINIA,MSN,PZ,346.44,65.01,411.45
MOLINIA,MSN,WC,346.44,111.7,458.14
NERINA,LC,OB,278.51,65.85,344.36
NERINA,LC,PZ,278.51,65.85,344.36
NERINA,LC,WC,278.51,113.13,391.64
NERINA,LG PVD,OB,334.23,79.03,413.26
NERINA,LG PVD,PZ,334.23,79.03,413.26
NERINA,LG PVD,WC,334.23,129.59,463.82
NINFEA R,LC,OB,269.43,65.85,335.28
NINFEA R,LC,PZ,269.43,65.85,335.28
NINFEA R,LC,WC,269.43,113.13,382.56
NINFEA R,SC,OB,269.43,65.85,335.28
NINFEA R,SC,PZ,269.43,65.85,335.28
NINFEA R,SC,WC,269.43,113.13,382.56
OLEANDRO,BLACK,OB,178.23,65.01,243.24
OLEANDRO,BLACK,PZ,178.23,65.01,243.24
OLEANDRO,BLACK,WC,178.23,111.7,289.93
OLEANDRO,CP,OB,178.23,65.01,243.24
OLEANDRO,CP,PZ,178.23,65.01,243.24
OLEANDRO,CP,WC,178.23,111.7,289.93
OLEANDRO,GOLD PVD,OB,196.05,71.51,267.56
OLEANDRO,GOLD PVD,PZ,196.05,71.51,267.56
OLEANDRO,GOLD PVD,WC,196.05,122.85,318.9
OLEANDRO,GOLD SATIN,OB,213.88,78.01,291.89
OLEANDRO,GOLD SATIN,PZ,213.88,78.01,291.89
OLEANDRO,GOLD SATIN,WC,213.88,128.44,342.32
OLEANDRO,MSB,OB,187.15,65.01,252.16
OLEANDRO,MSB,PZ,187.15,65.01,252.16
OLEANDRO,MSB,WC,187.15,111.7,298.85
OLEANDRO,MSC,OB,178.23,65.01,243.24
OLEANDRO,MSC,PZ,178.23,65.01,243.24
OLEANDRO,MSC,WC,178.23,111.7,289.93
OLEANDRO,MSN,OB,187.15,65.01,252.16
OLEANDRO,MSN,PZ,187.15,65.01,252.16
OLEANDRO,MSN,WC,187.15,111.7,298.85
ORCHIDE,BK,OB,327.36,65.85,393.21
ORCHIDE,BK,PZ,327.36,65.85,393.21
ORCHIDE,BK,WC,327.36,113.13,440.49
ORCHIDE,KG,OB,392.84,79.03,471.87
ORCHIDE,KG,PZ,392.84,79.03,471.87
ORCHIDE,KG,WC,392.84,129.59,522.43
ORCHIDE,LC,OB,327.36,65.85,393.21
ORCHIDE,LC,PZ,327.36,65.85,393.21
ORCHIDE,LC,WC,327.36,113.13,440.49
ORCHIDE,LG,OB,392.84,79.03,471.87
ORCHIDE,LG,PZ,392.84,79.03,471.87
ORCHIDE,LG,WC,392.84,129.59,522.43
ORCHIDE,SC,OB,327.36,65.85,393.21
ORCHIDE,SC,PZ,327.36,65.85,393.21
ORCHIDE,SC,WC,327.36,113.13,440.49
PAPAVERA,GYM,OB,389.65,79.03,468.68
PAPAVERA,GYM,PZ,389.65,79.03,468.68
PAPAVERA,GYM,WC,389.65,129.59,519.24
PAPAVERA,KG,OB,389.65,79.03,468.68
PAPAVERA,KG,PZ,389.65,79.03,468.68
